id;mot;pol_pos;pol_neutre;pol_neg
153344;méchante;0;0.18;0.82
131593;méchant;0.03;0.01;0.96
142226;gentil;0.78;0.15;0.07
106413;recommander;0.77;0.15;0.08
15669;je;0.68;0.25;0.08
410455;vais;0;0.33;0.67
114738;belle;0.91;0.09;0
28743;manière;0.39;0.54;0.07
126532;très;0.57;0.37;0.06
59618;bain;0.35;0.65;0
247632;était;0.75;0.16;0.09
142663;sale;0.02;0.02;0.96
152733;salle de bain;0.69;0.31;0
84223;essai;0.23;0.74;0.03
10034472;la salle de bain;0.67;0.33;0
398592;cet;0.7;0.3;0
102000;hôtel;0.16;0.84;0
144236;est;0.68;0.25;0.08
147272;aime;0.77;0.23;0
20965;nourriture;0.7;0.27;0.03
5610;dégueulasse;0;0.06;0.94
114700;bien;0.95;0.03;0.01
136224;que;0.73;0.19;0.08
87252;il;0.42;0.52;0.06
146156;gardé;0.6;0.24;0.16
143767;a;0.79;0.21;0
134474;piscine;0.69;0.26;0.05
23665;manque;0.03;0.03;0.94
54228;mais;0.57;0.34;0.09
141683;petite;0.18;0.02;0.81
139209;salle;0.32;0.68;0
43134;noire;0.26;0.43;0.31
154404;de bain;0.77;0.23;0
152820;grise;0.45;0.47;0.07
19945;et;0.71;0.29;0
4147;vouloir;0.63;0.29;0.08
64238;noir;0.05;0.81;0.14
19150;chaud;0.26;0.66;0.07
166075;prendre un bain;0.74;0.17;0.09
136736;jolie;0.81;0.19;0
420700;Piscine;0.77;0.23;0
36989;nul;0.03;0.03;0.94
27672;pas;0.56;0.39;0.05
90075;chambre;0.16;0.84;0
155721;délicieuse;0.83;0.12;0.05
404063;Hôtel;0.78;0.22;0
6334;magnifique;0.87;0.09;0.04
16033;cuisine;0.36;0.6;0.03
17666;agréable;0.94;0.05;0.02
145410;ne;0.25;0.14;0.61
55222;petit;0.11;0.12;0.76
107174;extraordinairement;0.81;0.11;0.08
80450;guère;0.41;0.45;0.13
102094;moyennement;0.71;0.13;0.16
2553;personnel;0.42;0.52;0.06
26673;accueillant;0.84;0.12;0.04
30529;actif;0.62;0.32;0.06
115468;globalement;0.73;0.18;0.08
144229;bon;0.94;0.03;0.02
114890;qui;0.74;0.17;0.08
136307;moderne;0.66;0.29;0.05
151711;grande;0.35;0.65;0
71467;télévision;0.24;0.47;0.29
66141;assez;0.69;0.23;0.08
37671;se;0.19;0.71;0.1
48704;trouver;0.59;0.36;0.05
10561;douche;0.36;0.61;0.03
13369;être;0.38;0.55;0.07
147829;douches;0.73;0.27;0
78625;payer;0.32;0.41;0.28
428764;sentait;0.35;0.29;0.36
119625;mauvais;0.01;0.01;0.98
124758;serviable;0.86;0.08;0.06
159041;personnels;0.74;0.18;0.08
56865;sport;0.2;0.77;0.03
140569;agence;0.49;0.46;0.05
1154;bonne;0.93;0.06;0.01
48513;qualité;0.74;0.21;0.05
148027;équipements;0.72;0.22;0.06
118316;propre;0.87;0.09;0.05
103064;varié;0.56;0.13;0.31
